14
0	0	50000	70711	50000	50000	70711	180278	158114	206155	141421	223607	111803	228569	220009
1	50000	0	50000	70711	70711	50000	212132	180278	223607	180278	250000	141421	277027	270007
2	70711	50000	0	111803	50000	100000	180278	141421	180278	158114	212132	111803	270267	274233
3	50000	70711	111803	0	100000	50000	223607	206155	254951	180278	269258	158114	246868	226062
4	50000	70711	50000	100000	0	111803	141421	111803	158114	111803	180278	70711	220327	225175
5	70711	50000	100000	50000	111803	0	250000	223607	269258	212132	291548	180278	292308	274962
6	180278	212132	180278	223607	141421	250000	0	50000	70711	50000	50000	70711	148809	190536
7	158114	180278	141421	206155	111803	223607	50000	0	50000	70711	70711	50000	191426	225397
8	206155	223607	180278	254951	158114	269258	70711	50000	0	111803	50000	100000	218961	260967
9	141421	180278	158114	180278	111803	212132	50000	70711	111803	0	100000	50000	125873	154932
10	223607	250000	212132	269258	180278	291548	50000	70711	50000	100000	0	111803	182877	231525
11	111803	141421	111803	158114	70711	180278	70711	50000	100000	50000	111803	0	174195	196224
12	228569	277027	270267	246868	220327	292308	148809	191426	218961	125873	182877	174195	0	60000
13	220009	270007	274233	226062	225175	274962	190536	225397	260967	154932	231525	196224	60000	0
